[2026-06-08 17:11:27.128][TRC][Px18108][Tx2126] -----------------------------
[2026-06-08 17:11:27.128][TRC][Px18108][Tx2126] MaaCore Process Start
[2026-06-08 17:11:27.128][TRC][Px18108][Tx2126] Version v6.11.1
[2026-06-08 17:11:27.128][TRC][Px18108][Tx2126] Built at Jun  1 2026 21:34:46
[2026-06-08 17:11:27.128][TRC][Px18108][Tx2126] User Dir D:\1-2\MAAOrch\maa\source\
[2026-06-08 17:11:27.128][TRC][Px18108][Tx2126] -----------------------------
[2026-06-08 17:11:27.128][TRC][Px18108][Tx2126] asst::ResourceLoader::load | enter
[2026-06-08 17:11:27.155][TRC][Px18108][Tx2126] asst::OnnxSessions::load | enter
[2026-06-08 17:11:27.155][INF][Px18108][Tx2126] record path resource\onnx\skill_ready_cls.onnx
[2026-06-08 17:11:27.155][TRC][Px18108][Tx2126] asst::OnnxSessions::load | leave, 0 ms
[2026-06-08 17:11:27.156][TRC][Px18108][Tx2126] asst::OnnxSessions::load | enter
[2026-06-08 17:11:27.156][INF][Px18108][Tx2126] record path resource\onnx\deploy_direction_cls.onnx
[2026-06-08 17:11:27.156][TRC][Px18108][Tx2126] asst::OnnxSessions::load | leave, 0 ms
[2026-06-08 17:11:27.156][TRC][Px18108][Tx2126] asst::OnnxSessions::load | enter
[2026-06-08 17:11:27.156][INF][Px18108][Tx2126] record path resource\onnx\operators_det.onnx
[2026-06-08 17:11:27.156][TRC][Px18108][Tx2126] asst::OnnxSessions::load | leave, 0 ms
[2026-06-08 17:11:27.156][TRC][Px18108][Tx2126] asst::OcrPack::OcrPack | enter
[2026-06-08 17:11:27.156][TRC][Px18108][Tx2126] asst::OcrPack::OcrPack | leave, 0 ms
[2026-06-08 17:11:27.156][TRC][Px18108][Tx2126] asst::OcrPack::load | enter
[2026-06-08 17:11:27.156][INF][Px18108][Tx2126] load resource\PaddleOCR
[2026-06-08 17:11:27.156][TRC][Px18108][Tx2126] asst::OcrPack::load | leave, 0 ms
[2026-06-08 17:11:27.156][TRC][Px18108][Tx2126] asst::OcrPack::OcrPack | enter
[2026-06-08 17:11:27.156][TRC][Px18108][Tx2126] asst::OcrPack::OcrPack | leave, 0 ms
[2026-06-08 17:11:27.156][TRC][Px18108][Tx2126] asst::OcrPack::load | enter
[2026-06-08 17:11:27.156][INF][Px18108][Tx2126] load resource\PaddleCharOCR
[2026-06-08 17:11:27.156][TRC][Px18108][Tx2126] asst::OcrPack::load | leave, 0 ms
[2026-06-08 17:11:27.156][TRC][Px18108][Tx2126] asst::GeneralConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:27.166][TRC][Px18108][Tx2126] asst::GeneralConfig::parse | enter
[2026-06-08 17:11:27.166][TRC][Px18108][Tx2126] asst::GeneralConfig::parse | leave, 0 ms
[2026-06-08 17:11:27.166][TRC][Px18108][Tx2126] asst::GeneralConfig :: asst::AbstractConfig::load | leave, 9 ms
