[2026-06-09 15:10:56.816][TRC][Px24456][Tx46046] -----------------------------
[2026-06-09 15:10:56.816][TRC][Px24456][Tx46046] MaaCore Process Start
[2026-06-09 15:10:56.816][TRC][Px24456][Tx46046] Version v6.11.1
[2026-06-09 15:10:56.816][TRC][Px24456][Tx46046] Built at Jun  1 2026 21:34:46
[2026-06-09 15:10:56.816][TRC][Px24456][Tx46046] User Dir D:\1-2\MAAOrch\services\maa\v6.11.1\
[2026-06-09 15:10:56.816][TRC][Px24456][Tx46046] -----------------------------
[2026-06-09 15:10:56.816][TRC][Px24456][Tx46046] asst::ResourceLoader::load | enter
[2026-06-09 15:10:56.844][TRC][Px24456][Tx46046] asst::OnnxSessions::load | enter
[2026-06-09 15:10:56.844][INF][Px24456][Tx46046] record path resource\onnx\skill_ready_cls.onnx
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::OnnxSessions::load | leave, 7 ms
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::OnnxSessions::load | enter
[2026-06-09 15:10:56.852][INF][Px24456][Tx46046] record path resource\onnx\deploy_direction_cls.onnx
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::OnnxSessions::load | leave, 0 ms
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::OnnxSessions::load | enter
[2026-06-09 15:10:56.852][INF][Px24456][Tx46046] record path resource\onnx\operators_det.onnx
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::OnnxSessions::load | leave, 0 ms
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::OcrPack::OcrPack | enter
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::OcrPack::OcrPack | leave, 0 ms
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::OcrPack::load | enter
[2026-06-09 15:10:56.852][INF][Px24456][Tx46046] load resource\PaddleOCR
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::OcrPack::load | leave, 0 ms
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::OcrPack::OcrPack | enter
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::OcrPack::OcrPack | leave, 0 ms
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::OcrPack::load | enter
[2026-06-09 15:10:56.852][INF][Px24456][Tx46046] load resource\PaddleCharOCR
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::OcrPack::load | leave, 0 ms
[2026-06-09 15:10:56.852][TRC][Px24456][Tx46046] asst::GeneralConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:56.859][TRC][Px24456][Tx46046] asst::GeneralConfig::parse | enter
[2026-06-09 15:10:56.860][TRC][Px24456][Tx46046] asst::GeneralConfig::parse | leave, 0 ms
[2026-06-09 15:10:56.860][TRC][Px24456][Tx46046] asst::GeneralConfig :: asst::AbstractConfig::load | leave, 7 ms
[2026-06-09 15:10:56.860][TRC][Px24456][Tx46046] asst::RecruitConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:56.860][TRC][Px24456][Tx46046] asst::RecruitConfig::parse | enter
[2026-06-09 15:10:56.860][TRC][Px24456][Tx46046] asst::RecruitConfig::clear | enter
[2026-06-09 15:10:56.860][TRC][Px24456][Tx46046] asst::RecruitConfig::clear | leave, 0 ms
[2026-06-09 15:10:56.861][TRC][Px24456][Tx46046] asst::RecruitConfig::parse | leave, 0 ms
[2026-06-09 15:10:56.861][TRC][Px24456][Tx46046] asst::RecruitConfig :: asst::AbstractConfig::load | leave, 1 ms
[2026-06-09 15:10:56.861][TRC][Px24456][Tx46046] asst::BattleDataConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:56.871][TRC][Px24456][Tx46046] asst::BattleDataConfig::parse | enter
[2026-06-09 15:10:56.874][TRC][Px24456][Tx46046] asst::BattleDataConfig::parse | leave, 3 ms
[2026-06-09 15:10:56.875][TRC][Px24456][Tx46046] asst::BattleDataConfig :: asst::AbstractConfig::load | leave, 13 ms
[2026-06-09 15:10:56.875][TRC][Px24456][Tx46046] asst::OcrConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:56.883][TRC][Px24456][Tx46046] asst::OcrConfig::parse | enter
[2026-06-09 15:10:56.883][TRC][Px24456][Tx46046] asst::OcrConfig::parse | leave, 0 ms
[2026-06-09 15:10:56.883][TRC][Px24456][Tx46046] asst::OcrConfig :: asst::AbstractConfig::load | leave, 7 ms
[2026-06-09 15:10:56.883][TRC][Px24456][Tx46046] asst::AvatarCacheManager::load | enter
[2026-06-09 15:10:56.883][INF][Px24456][Tx46046] load cache\avatars
[2026-06-09 15:10:56.884][TRC][Px24456][Tx46046] asst::AvatarCacheManager::load | leave, 0 ms
[2026-06-09 15:10:56.884][TRC][Px24456][Tx28986] asst::AvatarCacheManager::_load | enter
[2026-06-09 15:10:56.884][TRC][Px24456][Tx28986] asst::AvatarCacheManager::_load | leave, 0 ms
[2026-06-09 15:10:56.884][TRC][Px24456][Tx46046] TaskData::load | enter
[2026-06-09 15:10:57.480][TRC][Px24456][Tx46046] asst::TaskData::parse | enter
[2026-06-09 15:10:57.480][TRC][Px24456][Tx46046] asst::TaskData::lazy_parse | enter
[2026-06-09 15:10:57.488][TRC][Px24456][Tx46046] asst::TaskData::lazy_parse | leave, 8 ms
[2026-06-09 15:10:57.606][TRC][Px24456][Tx46046] asst::TaskData::parse | leave, 126 ms
[2026-06-09 15:10:57.613][TRC][Px24456][Tx46046] TaskData::load | leave, 729 ms
[2026-06-09 15:10:57.614][TRC][Px24456][Tx46046] asst::TemplResource::load | enter
[2026-06-09 15:10:57.614][INF][Px24456][Tx46046] load resource\template
[2026-06-09 15:10:57.657][TRC][Px24456][Tx46046] asst::TemplResource::load | leave, 43 ms
[2026-06-09 15:10:57.657][TRC][Px24456][Tx46046] asst::InfrastConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:57.668][TRC][Px24456][Tx46046] asst::InfrastConfig::parse | enter
[2026-06-09 15:10:57.671][TRC][Px24456][Tx46046] asst::InfrastConfig::parse | leave, 2 ms
[2026-06-09 15:10:57.671][TRC][Px24456][Tx46046] asst::InfrastConfig :: asst::AbstractConfig::load | leave, 13 ms
[2026-06-09 15:10:57.671][TRC][Px24456][Tx46046] asst::TemplResource::load | enter
[2026-06-09 15:10:57.671][INF][Px24456][Tx46046] load resource\template\infrast
